ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE	SOURCE
3495	to stand	Shiwilu	Cahuapanan	wanerapalli	wanerapalli	w a n ə ɾ a p a ʎ i	2722	4529	w a n ə ɾ a p a ʎ i			None	Valenzuela2012
3496	star	Shiwilu	Cahuapanan	tandula	tandula	t a n ð u l a	1936	3176	t a n.ð u l a			None	Valenzuela2012
3497	stick (of wood)	Shiwilu	Cahuapanan	nala	nala	n a l a	1961	3216	n a l a			None	Valenzuela2012
3498	stone	Shiwilu	Cahuapanan	la’pi	la’pi	l a ʔ p i	1975	3247	l a ʔ p i			None	Valenzuela2012
3499	straight	Shiwilu	Cahuapanan	chek	chek	tʃ ə ˀk	1997	143	tʃ ə ˀk			buscar jivaro	Valenzuela2012
3500	to suck	Shiwilu	Cahuapanan	siserapalli	siserapalli	s i s ə ɾ a p a ʎ i	2735	4548	s i s ə ɾ a p a ʎ i			None	Valenzuela2012
3501	sun	Shiwilu	Cahuapanan	kekki	kekki	kˀ ə k k i	2020	3314	kˀ ə k k i			None	Valenzuela2012
3502	to swim	Shiwilu	Cahuapanan	idunpalli	idunpalli	i ð u m b a ʎ i	2768	4600	i ð u m b a ʎ i			None	Valenzuela2012
3503	tail	Shiwilu	Cahuapanan	llintek	llintek	ʎ i n d ə ˀk	2040	3349	ʎ i n d ə ˀk			None	Valenzuela2012
3504	that	Shiwilu	Cahuapanan	ma’	ma’	m a ʔ	2057	3374	m a ʔ			None	Valenzuela2012
3505	there	Shiwilu	Cahuapanan	nanek	nanek	n a n ə ˀk	2069	3402	n a n ə ˀk			None	Valenzuela2012
3506	thick	Shiwilu	Cahuapanan	tanatek	tanatek	t a n a tˀ ə k	2104	3477	t a n a tˀ ə k			None	Valenzuela2012
3507	thin	Shiwilu	Cahuapanan	simen	simen	s i m ə n	2119	3502	s i m ə n			None	Valenzuela2012
3508	to think	Shiwilu	Cahuapanan	inlli’inupalli	inlli’inupalli	i n ʎ i ʔ i n u p a ʎ i	2784	4630	i n ʎ i ʔ i n u p a ʎ i			None	Valenzuela2012
3509	this	Shiwilu	Cahuapanan	asu’	asu’	a s u ʔ	2134	3525	a s u ʔ			None	Valenzuela2012
3510	thou	Shiwilu	Cahuapanan	kenma	kenma	kˀ ə n m a	2142	179	kˀ ə n m a			verbal/possessive suffixes	Valenzuela2012
3511	three	Shiwilu	Cahuapanan	kala	kala	k a l a	2159	180	k a l a			None	Valenzuela2012
3512	to throw	Shiwilu	Cahuapanan	pidatapalli	pidatapalli	p i ð a t a p a ʎ i	2799	4662	p i ð a t a p a ʎ i			None	Valenzuela2012
3513	to tie	Shiwilu	Cahuapanan	tenpu’palli	tenpu’palli	tˀ ə m b u ʔ p a ʎ i	2817	4687	tˀ ə m b u.ʔ p a ʎ i -			None	Valenzuela2012
3514	tongue	Shiwilu	Cahuapanan	ñinekla	ñinekla	ɲ i n ə ˀk l a	2879	4816	ɲ i n ə ˀk l a			None	Valenzuela2012
3515	tooth (front rather than molar)	Shiwilu	Cahuapanan	latek	latek	l a tˀ ə k	2897	4850	l a tˀ ə k			None	Valenzuela2012
3516	tree	Shiwilu	Cahuapanan	nala	nala	n a l a	2919	4892	n a l a			None	Valenzuela2012
3517	to turn (change one's direction)	Shiwilu	Cahuapanan	tamanerapalli	tamanerapalli	t a m a n ə ɾ a p a ʎ i	2828	4723	t a m a n ə ɾ a p a ʎ i			None	Valenzuela2012
3518	two	Shiwilu	Cahuapanan	katu’	katu’	k a t u ʔ	2935	4930	k a t u ʔ			None	Valenzuela2012
3519	to vomit	Shiwilu	Cahuapanan	enmu’palli	enmu’palli	ə n m u ʔ p a ʎ i	2838	4736	ə n m u ʔ p a ʎ i			None	Valenzuela2012
3520	to walk	Shiwilu	Cahuapanan	dekkuntapalli	dekkuntapalli	ð ə ˀk k u n d a p a ʎ i	2852	4762	ð ə ˀk k u n d a p a ʎ i			None	Valenzuela2012
3521	to wash	Shiwilu	Cahuapanan	pamu’palli	pamu’palli	p a m u ʔ p a ʎ i	2862	4785	p a m u ʔ p a ʎ i			There is a specific form for ‘washing clothes’: peksa’dunpalli	Valenzuela2012
3522	water	Shiwilu	Cahuapanan	dek	dek	ð ə ˀk	2972	4986	ð ə ˀk			None	Valenzuela2012
3523	we	Shiwilu	Cahuapanan	kenmu’wa’	kenmu’wa’	kˀ ə n m u ʔ w a ʔ	2991	5022	kˀ ə n m u ʔ w a ʔ			inclusive form	Valenzuela2012
3524	we	Shiwilu	Cahuapanan	kuda	kuda	k u ð a	2998	5029	k u ð a			exclusive form	Valenzuela2012
3525	what?	Shiwilu	Cahuapanan	ma’	ma’	m a ʔ	3021	212	m a ʔ - - -			None	Valenzuela2012
3526	when?	Shiwilu	Cahuapanan	enpi’i’na	enpi’i’na	ə m b i ʔ i ʔ n a	3040	5113	ə m b i ʔ i ʔ n a			None	Valenzuela2012
3527	where?	Shiwilu	Cahuapanan	enkasek	enkasek	ə n g a s ə ˀk	3055	5139	ə n g a s ə ˀk			None	Valenzuela2012
3528	white	Shiwilu	Cahuapanan	dadapu	dadapu	ð a ð a p u	3076	5175	ð a ð a p u			None	Valenzuela2012
3529	who?	Shiwilu	Cahuapanan	den	den	ð ə n	3094	5207	ð ə n			None	Valenzuela2012
3530	wide	Shiwilu	Cahuapanan	du’wan	du’wan	ð u ʔ w a n	3113	5239	ð u ʔ w a n			None	Valenzuela2012
3531	wife	Shiwilu	Cahuapanan	sada	sada	s a ð a	3126	5262	s a ð a			None	Valenzuela2012
3532	wind	Shiwilu	Cahuapanan	tanluwa	tanluwa	t a n l u w a	3145	5290	t a n l u w a			None	Valenzuela2012
3533	wing	Shiwilu	Cahuapanan	anpina	anpina	a m b i n a	3161	5310	a m b i - n ( a - - )			None	Valenzuela2012
3534	to wipe	Shiwilu	Cahuapanan	nawerapalli	nawerapalli	n a w ə ɾ a p a ʎ i	2869	4803	n a w ə ɾ a p a ʎ i			None	Valenzuela2012
3535	with (accompanying)	Shiwilu	Cahuapanan	=lek	=lek	l ə ˀk	3175	5335	l ə ˀk			None	Valenzuela2012
3536	woman	Shiwilu	Cahuapanan	ku’aper	ku’aper	k u ʔ a pˀ ə ɾ	3194	5366	k u ʔ a pˀ ə ɾ			None	Valenzuela2012
3537	woods	Shiwilu	Cahuapanan	tana	tana	t a n a	3211	5399	t a n a			None	Valenzuela2012
3538	worm	Shiwilu	Cahuapanan	tunla	tunla	t u n l a	3221	5413	t u n l a			None	Valenzuela2012
3539	ye	Shiwilu	Cahuapanan	kenmama’	kenmama’	kˀ ə n m a m a ʔ	3240	5447	kˀ ə n m a m a ʔ			None	Valenzuela2012
3540	year	Shiwilu	Cahuapanan	ekkilala	ekkilala	ə ˀk k i l a l a	3254	5478	ə ˀk k i l a l a			None	Valenzuela2012
3541	yellow	Shiwilu	Cahuapanan	sha’pi’	sha’pi’	ʃ a ʔ p i ʔ	3266	5495	ʃ a ʔ p i.ʔ ( - - - )			None	Valenzuela2012
3542	all (of a number)	Shuar	Chicham	másh’	másh’,mashi	m a ʃˀ	14	35	m a ʃˀ -			None	Pellizzaro2005
3543	all (of a number)	Shuar	Chicham	mashi	másh’,mashi	m a ʃ i	14	35	m a ʃ i			None	Pellizzaro2005
3544	and	Shuar	Chicham	-sha	-sha	ʃ a	33	761	ʃ a - - - -			-sha es un aditivo, la forma tura también existe en shuar	Pellizzaro2005
3545	animal	Shuar	Chicham	tanku	tanku	t a ŋ k u	44	87	t a ŋ k u			animal doméstico	Pellizzaro2005
3546	ashes	Shuar	Chicham	yunkúnim	yunkúnim	j u ŋ k u + n i m	52	99 793	j u ŋ k u + n i m			None	Pellizzaro2005
3547	at	Shuar	Chicham	-nam	-nam	n a m	71	130	n a m			With consonant-ending nouns	Pellizzaro2005
3548	at	Shuar	Chicham	-num	-num	n u m	71	130	n u m			With vowel-ending nouns	Pellizzaro2005
3549	back (person's)	Shuar	Chicham	tuntupe	tuntupe	t u n t u p.ɨ	79	149	t u n t u p.ɨ			None	Pellizzaro2005
3550	bad (deleterious or unsuitable)	Shuar	Chicham	yajáuch’	yajáuch’	j a h a.u tʃˀ	112	194	j a h a.u tʃˀ			None	Pellizzaro2005
3551	bark	Shuar	Chicham	saep	saep	s a.ɨ p	123	216	s a.ɨ p -			None	Pellizzaro2005
3552	belly	Shuar	Chicham	tantán	tantán	t a n t a n	151	258	t a n t a n			None	Pellizzaro2005
3553	big	Shuar	Chicham	úunt	úunt	uː n.t	179	306	- uː n.t			None	Pellizzaro2005
3554	bird	Shuar	Chicham	nanamtin	nanamtin	n a n a m t i n	207	347	n a n a m t i n			None	Pellizzaro2005
3555	to bite	Shuar	Chicham	esá-i	esá-i	ɨ s a + i	2181	3619 951	ɨ s a + i			None	Pellizzaro2005
3556	black	Shuar	Chicham	mukusa	mukusa	m u k u s a	233	381	m u k u s a			None	Pellizzaro2005
3557	blood	Shuar	Chicham	numpa	numpa	n u m p a	259	422	n u m p a			None	Pellizzaro2005
3558	to blow (of wind)	Shuar	Chicham	nasent-ka	nasent-ka	n a s ɨ n t + k a	2204	3656 3654	n a s ɨ n t + k a			None	Pellizzaro2005
3559	bone	Shuar	Chicham	ukunch’	ukunch’	u k u n tʃˀ	284	467	u k u n tʃˀ			None	Pellizzaro2005
3560	to breathe	Shuar	Chicham	mayat-ka	mayat-ka	m a j a + t + k a	2214	3678 579 3685	m a j a + t + k a			None	Pellizzaro2005
3561	to burn (intrans)	Shuar	Chicham	kée-k	kée-k	k ɨː + k	2228	3698 3699	k ɨː + k			None	Pellizzaro2005
3562	child (young person rather than as relationship term)	Shuar	Chicham	uchi	uchi	u tʃ i	305	502	u tʃ i			None	Pellizzaro2005
3563	cloud	Shuar	Chicham	yuránkim	yuránkim	j u ɾ a ŋ k i m	321	523	j u ɾ a ŋ k i m			None	Pellizzaro2005
3564	to come	Shuar	Chicham	winí-	winí-	w i n i	2233	3706	w i n i -			None	Pellizzaro2005
3565	to count	Shuar	Chicham	aújmat-sa	aújmat-sa	au h m a t + s a	2251	3740 3741	au h m a t + s a			None	Pellizzaro2005
3566	to cut	Shuar	Chicham	churút-ka	churút-ka	tʃ u ɾ u t + k a	2262	3755 3753	tʃ u ɾ u t + k a			None	Pellizzaro2005
3567	day (opposite of night rather than time measure)	Shuar	Chicham	tsawái	tsawái	ts a w !á/a + i	340	553 794	ts a w !á/a - + i			This is the adverb 'de día'.	Pellizzaro2005
3568	to die	Shuar	Chicham	já-ka	já-ka	h a + k a	2285	3773 986	h a + k a			None	Pellizzaro2005
3569	dirty	Shuar	Chicham	wapik	wapik	w a p i k	371	597	w a p i k			None	Pellizzaro2005
3570	dog	Shuar	Chicham	tanku-yawá	tanku-yawá	t a ŋ k u + j a w a	396	634 616	t a ŋ k u + j a w a			None	Pellizzaro2005
3571	to drink	Shuar	Chicham	uma-r	uma-r	u m a + ɾ	2319	3829 3843	u m a + ɾ			None	Pellizzaro2005
3572	dry (substance)	Shuar	Chicham	jujúptin	jujúptin	h u h u p t i n	413	661	h u h u p t i n			None	Pellizzaro2005
3573	dust	Shuar	Chicham	júyui	júyui	h u j u + i	433	701 797	h u j u - + i			None	Pellizzaro2005
3574	ear	Shuar	Chicham	kuish’	kuish’	k u i ʃˀ	452	727	k u - i ʃˀ			None	Pellizzaro2005
3575	earth (soil)	Shuar	Chicham	nunka	nunka	n u ŋ k a	478	771	n u ŋ k a			None	Pellizzaro2005
3576	to eat	Shuar	Chicham	yu-a	yu-a	j u + a	2326	3862 3877	j u + a			None	Pellizzaro2005
3577	egg	Shuar	Chicham	nujint	nujint	n u h i n.t	497	800	n u h i n.t			None	Pellizzaro2005
3578	eye	Shuar	Chicham	ji̠	ji̠	h i	518	833	h i			None	Pellizzaro2005
3579	to fall (drop rather than topple)	Shuar	Chicham	puku-ka	katu-ka	p u k u + k a	2364	3921 3922	p u k u + k a			None	Pellizzaro2005
3580	far	Shuar	Chicham	yajá	yajá	j a h a	548	882	j a h - a			None	Pellizzaro2005
3581	father	Shuar	Chicham	apa̠	apa̠	a p a	584	933	- a p a			None	Pellizzaro2005
3582	to fear	Shuar	Chicham	ishám-ka	ishám-ka	i ʃ a m + k a	2378	3950 3951	i ʃ a m - + k a			None	Pellizzaro2005
3583	to fight	Shuar	Chicham	máni-k	máni-k	m a + n i + k	2385	3965 1055 3967	m a + n i + k			None	Pellizzaro2005
3584	fire	Shuar	Chicham	ji	ji	h i	634	1019	h i			None	Pellizzaro2005
3585	fish	Shuar	Chicham	jarump’	jarump’	h a ɾ u m pˀ	669	1069	h a ɾ u m pˀ			Because of order of entries, here are the variants: kasur,kuserú	Pellizzaro2005
3586	to float	Shuar	Chicham	naná-s	naná-s	n a n a + s	2389	3973 3976	n a n a + s			None	Pellizzaro2005
3587	to flow	Shuar	Chicham	pua-r	pua-r	p u a + ɾ	2399	3989 3990	p u a + ɾ			None	Pellizzaro2005
3588	flower	Shuar	Chicham	yankuj’	yankuj’	j a ŋ k u hˀ	701	1127	j a ŋ k u hˀ			None	Pellizzaro2005
3589	to fly	Shuar	Chicham	nana-k	nana-k	n a n a + k	2404	4000 4013	n a n a + k - - -			None	Pellizzaro2005
3590	fog	Shuar	Chicham	yuránkim	yuránkim	j u ɾ a ŋ k i m	721	1157	j u ɾ a ŋ k i m			None	Pellizzaro2005
3591	foot	Shuar	Chicham	nawe	nawe	n a w ɨ	731	1175	n a w ɨ			None	Pellizzaro2005
3592	four	Shuar	Chicham	aíntiuk	aíntiuk	a.i n tʲ u k	756	1217	- a.i n tʲ u k			None	Pellizzaro2005
3593	to freeze	Shuar	Chicham	supík	supík	s u p i k	2422	4030	s u p i k			None	Pellizzaro2005
3594	to give	Shuar	Chicham	amá-s	amá-s	a m a + s	2437	4049 1085	a m a + s			None	Pellizzaro2005
3595	good	Shuar	Chicham	pénker	pénker	p ɨ ŋ k ɨ ɾ	779	1254	p ɨ ŋ k ɨ ɾ			None	Pellizzaro2005
3596	grass	Shuar	Chicham	saák’	saák’	s aː kˀ	811	1296	s aː kˀ			None	Pellizzaro2005
3597	green	Shuar	Chicham	sámek	sámek	s a m ɨ k	819	1315	s a m ɨ k ( - - )			None	Pellizzaro2005
3598	guts	Shuar	Chicham	ámpuje	ámpuje	a m p u h ɨ	839	1346	a m p u h ɨ			None	Pellizzaro2005
3599	hair	Shuar	Chicham	intiash’	intiash’	i n tʲ a ʃˀ	844	1354	i n tʲ a ʃˀ			None	Pellizzaro2005
3600	hand	Shuar	Chicham	eweje	eweje	ɨ w ɨ h ɨ	867	1389	ɨ w ɨ h ɨ			None	Pellizzaro2005
3601	he	Shuar	Chicham	au	au	au	898	1441	au			masculine, the feminine form is: nii	Pellizzaro2005
3602	head	Shuar	Chicham	múuka	múuka	m uː k a	902	1464	m uː k a			None	Pellizzaro2005
3603	to hear	Shuar	Chicham	ant-uk	ant-uk	a n t + u k	2458	4065 4078	a n t - + u k			None	Pellizzaro2005
3604	heart	Shuar	Chicham	anentái	anentái	a n ɨ n + t e.i	925	1507 757	a n ɨ n + t e.i			None	Pellizzaro2005
3605	heavy	Shuar	Chicham	eméram	eméram	ɨ m ɨ ɾ a m	950	1546	ɨ m ɨ ɾ a m			Because of order of entries, here are the variant: kijín	Pellizzaro2005
3606	here	Shuar	Chicham	juí	juí	h u ∼ i	956	1561	h u ∼ i			None	Pellizzaro2005
3607	to hit	Shuar	Chicham	awat-’	awat-’	a w a tˀ	2466	4098	a w a tˀ - -			None	Pellizzaro2005
3608	how	Shuar	Chicham	itiúr	itiúr	i tʲ u ɾ	971	1595	i tʲ u - ɾ - ( - - )			None	Pellizzaro2005
3609	to hunt (game)	Shuar	Chicham	eám-ka	eám-ka	ɨ a + m + k a	2497	4153 4154 1123	ɨ - a + m - + k a			None	Pellizzaro2005
3610	husband	Shuar	Chicham	áish	áish	e.i ʃ	1004	1626	e.i ʃ -			None	Pellizzaro2005
3611	I	Shuar	Chicham	wi	wi	w i	1	1	w i			None	Pellizzaro2005
3612	if	Shuar	Chicham	-ka	-ka	k a	1016	1660	( - - ) k a			None	Pellizzaro2005
3613	in	Shuar	Chicham	-nam	-nam	n a m	1025	1681	n a m			With consonant-ending nouns	Pellizzaro2005
3614	in	Shuar	Chicham	-num	-num	n u m	1025	1681	n u m			With vowel-ending nouns	Pellizzaro2005
3615	to kill	Shuar	Chicham	ma-a	ma-a	m a + a	2502	4164 4185	m a + a - - - - - -			None	Pellizzaro2005
3616	to know (facts)	Shuar	Chicham	neká-	neká-	n ɨ k a	2522	4206	n ɨ k a			None	Pellizzaro2005
3617	leaf	Shuar	Chicham	nuka	nuka	n u k a	1053	1732	n u k a			None	Pellizzaro2005
3618	left (hand)	Shuar	Chicham	mena	mena	m ɨ n a	1076	1773	m ɨ n a			None	Pellizzaro2005
3619	leg	Shuar	Chicham	maku	maku	m a k u	1092	1798	m a k u			None	Pellizzaro2005
3620	to lie	Shuar	Chicham	tepesma	tepesma	t ɨ p ɨ + s + m a	2545	4244 1152 1153	t ɨ p ɨ + s + m a			None	Pellizzaro2005
3621	to live	Shuar	Chicham	iwiák-	iwiák-	i w i a k	2562	4267	i w i a k			None	Pellizzaro2005
3622	liver	Shuar	Chicham	akape	akape	a k a p ɨ	1109	1826	a k a p ɨ			None	Pellizzaro2005
3623	long	Shuar	Chicham	táinkiasip	táinkiasip	t ei ŋ kʲ a s i p	1138	1868	t ei ŋ kʲ a s i p			Because of more semantic complexity, here is the variant: ésaram	Pellizzaro2005
3624	louse	Shuar	Chicham	tema	tema	t ɨ m a	1147	1887	t ɨ m a			This is the term for louse (in humans). Because of more morphological complexity, here is the variant for louse (in animals): temáish	Pellizzaro2005
3625	man (male human)	Shuar	Chicham	áishmank	áishmank	e.i ʃ m a !nk/ŋ	1160	1916	e.i ʃ m a !nk/ŋ			None	Pellizzaro2005
3626	many	Shuar	Chicham	untsurí	untsurí	u n ts u ɾ i	1169	1928	u n ts u ɾ i			None	Pellizzaro2005
3627	meat (flesh)	Shuar	Chicham	namanke	namanke	n a m a ŋ k ɨ	1191	1957	n a m a ŋ k ɨ ( - - - )			None	Pellizzaro2005
3628	mother	Shuar	Chicham	nuku	nuku	n u k u	1206	1983	n u k u			None	Pellizzaro2005
3629	mountain	Shuar	Chicham	náint	náint	n ei n.t	1228	2019	n ei n.t			None	Pellizzaro2005
3630	mouth	Shuar	Chicham	wene	wene	w ɨ n ɨ	1246	2047	w ɨ n ɨ			None	Pellizzaro2005
3631	near	Shuar	Chicham	tíjiuch’	tíjiuch’	t i h i u tʃˀ	1314	2144	t i h i u tʃˀ			None	Pellizzaro2005
3632	neck	Shuar	Chicham	kuntuj	kuntuj	k u n t u h	1324	2158	k u n t u h			None	Pellizzaro2005
3633	new	Shuar	Chicham	yamáram	yamáram	j a m a + ɾ a m	1345	2192 874	j a m a + ɾ a m			None	Pellizzaro2005
3634	night	Shuar	Chicham	kashi	kashi	k a ʃ i	1361	2220	k a ʃ i			None	Pellizzaro2005
3635	nose	Shuar	Chicham	nuji̠	nuji̠	n u h i	1379	2253	n u h i			None	Pellizzaro2005
3636	not	Shuar	Chicham	-ch	-ch	tʃ	1403	2295	tʃ -			Because of order of entries, here are the variants: sh,ts	Pellizzaro2005
3637	old	Shuar	Chicham	arut	arut	a ɾ u t	1431	2349	a ɾ u t			Because of more morphological complexity (and perhaps also semantic), here is the variant: úuntach’	Pellizzaro2005
3638	one	Shuar	Chicham	chikíchik	chikíchik	tʃ i k i tʃ i k	1440	2365	tʃ i k i tʃ i k			None	Pellizzaro2005
3639	other	Shuar	Chicham	chíkich	chíkich	tʃ i k i tʃ	1460	2406	tʃ i k i tʃ			None	Pellizzaro2005
3640	person	Shuar	Chicham	aéntsu	aéntsu	a.ɨ n ts u	1483	2438	a.ɨ n ts u			None	Pellizzaro2005
3641	to play	Shuar	Chicham	nakur-ús	nakur-ús	n a k u ɾ + u s	2570	4284 4287	n a k u ɾ + u s			None	Pellizzaro2005
3642	to pull	Shuar	Chicham	japí-k	japí-k	h a p i + k	2579	4298 4304	h a p i + k -			None	Pellizzaro2005
3643	to push	Shuar	Chicham	útsu-k	útsu-k	u ts u + k	2599	4330 4328	u ts u + k -			None	Pellizzaro2005
3644	to rain	Shuar	Chicham	yut-uk	yut-uk	j u t + u k	2608	4347 4348	j u t - + u k			None	Pellizzaro2005
3645	red	Shuar	Chicham	kapántin	kapántin	k a p a n t i n	1490	2458	k a p a n t i n			None	Pellizzaro2005
3646	right (hand)	Shuar	Chicham	untsur	untsur	u n ts u ɾ	1530	2526	u n ts u ɾ			None	Pellizzaro2005
3647	river	Shuar	Chicham	entsa	entsa	ɨ n ts a	1548	2552	ɨ n ts a			None	Pellizzaro2005
3648	road (or trail)	Shuar	Chicham	jíntia	jíntia	h i n tʲ a	1574	2596	h i n tʲ a			None	Pellizzaro2005
3649	root	Shuar	Chicham	kankap	kankap	k a ŋ k a p	1581	2606	k a ŋ k a p			None	Pellizzaro2005
3650	rope	Shuar	Chicham	chápic	chápic	tʃ a p i k	1598	2638	tʃ a p i k			None	Pellizzaro2005
3651	rotten (especially log)	Shuar	Chicham	kaúrma	kaúrma	k a.u + ɾ + m a	1626	2669 895 897	k a.u + ɾ + m a			None	Pellizzaro2005
3652	to rub	Shuar	Chicham	kue-r	kue-r	k u ɨ + ɾ	2617	4360 241	k u ɨ + ɾ			Because of examples amd more semantic complexity, here is the variant: majú-r	Pellizzaro2005
3653	salt	Shuar	Chicham	wee	wee	w ɨː	1634	2698	w ɨː			This is the term for sa; (de vertiente Amazonica). Here is the name for sal (del mar): kachi	Pellizzaro2005
3654	say	Shuar	Chicham	chichá-s	chichá-s	tʃ i tʃ a + s	1678	2749 2762	tʃ i tʃ a + s			None	Pellizzaro2005
3655	to scratch (as with fingernails to relieve itch)	Shuar	Chicham	méek-ra	méek-ra	m eː k + ɾ a	2627	4374 4375	m eː k + ɾ a			None	Pellizzaro2005
3656	sea (ocean)	Shuar	Chicham	nayants	nayants	n a j a + n ts	1685	900 2785	n a j a + - n ts -			None	Pellizzaro2005
3657	see	Shuar	Chicham	íi-sa	íim-sa	iː + s a	1714	2834 2835	- iː + s a			Because or order of the entries, here is the variant: íim-sa	Pellizzaro2005
3658	to sew	Shuar	Chicham	apá-r	apá-r	a p a + ɾ	2639	4389 4390	a p a + ɾ			None	Pellizzaro2005
3659	sharp (as knife)	Shuar	Chicham	atsákamu	atsákamu	a ts a k a + m u	1743	2882 946	- ts a k a ts k a + m u			None	Pellizzaro2005
3660	short	Shuar	Chicham	sútarach’	sútarach’	s u t a ɾ a tʃˀ	1756	2904	s u t a ɾ a tʃˀ			Because it is not the most general meaning, here is the variant: sumpit	Pellizzaro2005
3661	to sing	Shuar	Chicham	nampés	nampés	n a m p ɨ + s	2646	4401 1203	n a m p ɨ + s			Not sure about this form, the entry does not give much information: kantam-á	Pellizzaro2005
3662	sit	Shuar	Chicham	pujú-s	pujú-s	p u h u + s	1787	2943 2944	p u h u + s			None	Pellizzaro2005
3663	skin (person's)	Shuar	Chicham	nuápe	nuápe	n u a p ɨ	1795	2957	n u - a p ɨ			None	Pellizzaro2005
3664	sky	Shuar	Chicham	nayáimp’	nayáimp’	n a j e.i m pˀ	1804	2971	n a j e.i m pˀ			None	Pellizzaro2005
3665	sleep	Shuar	Chicham	kaná-r	kaná-r	k a n a + ɾ	1824	3010 3020	k a n a + ɾ			None	Pellizzaro2005
3666	to smell (perceive odor)	Shuar	Chicham	meje-ás	meje-ás	m ɨ h ɨ + a s	2669	4437 4438	m ɨ h ɨ + a s			None	Pellizzaro2005
3667	smoke (of fire)	Shuar	Chicham	mukuíntiu	mukuíntiu	m u k u.i n tʲ u	1864	3071	m u k u.i n ( tʲ u - - )			None	Pellizzaro2005
3668	smooth	Shuar	Chicham	piniúkma	piniúkma	p i ɲ u k m a	1879	3095	p i ɲ u ( k m a )			None	Pellizzaro2005
3669	snake	Shuar	Chicham	napi	napi	n a p i	1898	3125	n a p i			None	Pellizzaro2005
3670	snow	Shuar	Chicham	etsétsentai	etsétsentai	ɨ ts ɨ ts ɨ n t ei	1918	3152	ɨ ts ɨ ts ɨ n t ei			None	Pellizzaro2005
3671	to spit	Shuar	Chicham	usúk-ia	usúk-ia	u s u kʲ + a	2676	4450 4456	u s u kʲ + a			None	Pellizzaro2005
3672	to split	Shuar	Chicham	yumpu-ár	yumpu-ár	j u m p u + a ɾ	2694	4478 4479	j u m p u + a ɾ			None	Pellizzaro2005
3673	to squeeze	Shuar	Chicham	ijiur-á	ijiur-á	i hʲ u ɾ + a	2699	4488 4496	i hʲ u ɾ + a			None	Pellizzaro2005
3674	to stab (or stick)	Shuar	Chicham	akut-a	akut-a	a k u + t + a	2711	4516 1276 4517	a k u + t + a			'clavar algo lanzándolo'	Pellizzaro2005
3675	to stand	Shuar	Chicham	wájaku	wájaku	w a h a + k u	2717	4524 1280	w a h a + k u			None	Pellizzaro2005
3676	star	Shuar	Chicham	yáa	yáa	j aː	1931	3169	j aː			None	Pellizzaro2005
3677	stick (of wood)	Shuar	Chicham	numi	numi	n u m i	1954	3206	n u m i			None	Pellizzaro2005
3678	stone	Shuar	Chicham	kaya	kaya	k a j a	1970	3241	k a j a			None	Pellizzaro2005
3679	straight	Shuar	Chicham	naka	naka	n a k a	1998	3280	n a k a			None	Pellizzaro2005
3680	to suck	Shuar	Chicham	muku-n-a	muku-n-a	m u k u + n a	2736	4540 4549	m u k u + n a			None	Pellizzaro2005
3681	sun	Shuar	Chicham	tsawái-nantu	tsawái-nantu	ts a w ei + n a n t u	2021	3299 3315	- - ts a ( w ei ) + n a n t u			None	Pellizzaro2005
3682	to swell	Shuar	Chicham	tanká-r	tanká-r	t a ŋ k a + ɾ	2750	4577 4578	t a ŋ k a + ɾ			None	Pellizzaro2005
3683	to swim	Shuar	Chicham	yukuá-k	yukuá-k	j u k u + a + k	2759	4591 1304 1306	j u k u + a + k			None	Pellizzaro2005
3684	tail	Shuar	Chicham	ujuke	ujuke	u h u k ɨ	2031	3338	u h u k ɨ			None	Pellizzaro2005
3685	that	Shuar	Chicham	nu	nu	n u	2048	3366	- n u			None	Pellizzaro2005
3686	there	Shuar	Chicham	nuí	nuí	n u i	2062	3394	- n u i			None	Pellizzaro2005
3687	they	Shuar	Chicham	au	au	au	2084	3434	au			masculine	Pellizzaro2005
3688	they	Shuar	Chicham	nii	nii	n iː	2076	3426	n iː			feminine	Pellizzaro2005
3689	thick	Shuar	Chicham	kámpuram	kámpuram	k a m p u + ɾ a m	2095	3467 943	k a m p u + ɾ a m			None	Pellizzaro2005
3690	thin	Shuar	Chicham	yayu	yayu	j a j u	2120	3503	j a j u			None	Pellizzaro2005
3691	to think	Shuar	Chicham	enentáim-sa	enentáim-sa	ɨ n ɨ n t e.i + m + s a	2775	4619 4631 1312	ɨ n ɨ n t e.i + m + s a			None	Pellizzaro2005
3692	this	Shuar	Chicham	ju	ju	h u	2129	3520	h u			None	Pellizzaro2005
3693	thou	Shuar	Chicham	ame	ame	a m ɨ	2142	3552	a m ɨ			None	Pellizzaro2005
3694	three	Shuar	Chicham	menáintiu	menáintiu	m ɨ n a.i n tʲ u	2169	3596	m ɨ n a.i n tʲ u			None	Pellizzaro2005
3695	to tie	Shuar	Chicham	jinkiá-	jinkiá-	h i ŋ kʲ a	2808	4683	h i ŋ kʲ a			None	Pellizzaro2005
3696	tongue	Shuar	Chicham	iniái	iniái	i ɲ e.i	2874	4809	i ɲ e.i			None	Pellizzaro2005
3697	tooth (front rather than molar)	Shuar	Chicham	nai	nai	n e.i	2892	4843	- n e.i			None	Pellizzaro2005
3698	tree	Shuar	Chicham	numi	numi	n u m i	2913	4884	n u m i			None	Pellizzaro2005
